Date,Currency,Mean,Buy,Sell
10/11/2016,RWF,7.5135,7.4571,7.57
10/11/2016,TSHS,21.5532,21.4834,21.6229
10/11/2016,USHS,33.6379,33.5567,33.7191
10/11/2016,US DOLLAR,101.2847,101.1889,101.3806
10/11/2016,EURO,112.9458,112.8267,113.065
10/11/2016,STG POUND,125.2628,125.1256,125.4
10/11/2016,BIF,16.5212,16.4068,16.6355
10/13/2016,US DOLLAR,101.2953,101.1994,101.3911
10/13/2016,STG POUND,124.1928,124.0561,124.3294
10/13/2016,EURO,112.26,112.1428,112.3772
10/13/2016,USHS,33.7628,33.6815,33.8441
10/13/2016,TSHS,21.5509,21.4812,21.6207
10/13/2016,RWF,7.9634,7.9213,8.0055
10/13/2016,BIF,16.5194,16.4051,16.6338
10/13/2016,US DOLLAR,101.2953,101.1994,101.3911
10/13/2016,STG POUND,124.1928,124.0561,124.3294
10/13/2016,EURO,112.26,112.1428,112.3772
10/13/2016,USHS,33.7628,33.6815,33.8441
10/13/2016,TSHS,21.5509,21.4812,21.6207
10/13/2016,RWF,7.9634,7.9213,8.0055
10/13/2016,BIF,16.5194,16.4051,16.6338
10/13/2016,US DOLLAR,101.2953,101.1994,101.3911
10/13/2016,STG POUND,124.1928,124.0561,124.3294
10/13/2016,EURO,112.26,112.1428,112.3772
10/13/2016,USHS,33.7628,33.6815,33.8441
10/13/2016,TSHS,21.5509,21.4812,21.6207
10/13/2016,RWF,7.9634,7.9213,8.0055
10/13/2016,BIF,16.5194,16.4051,16.6338
10/13/2016,US DOLLAR,101.2953,101.1994,101.3911
10/13/2016,STG POUND,124.1928,124.0561,124.3294
10/13/2016,EURO,112.26,112.1428,112.3772
10/13/2016,USHS,33.7628,33.6815,33.8441
10/13/2016,TSHS,21.5509,21.4812,21.6207
10/13/2016,RWF,7.9634,7.9213,8.0055
10/13/2016,BIF,16.5194,16.4051,16.6338
10/13/2016,US DOLLAR,101.2953,101.1994,101.3911
10/13/2016,STG POUND,124.1928,124.0561,124.3294
10/13/2016,EURO,112.26,112.1428,112.3772
10/13/2016,USHS,33.7628,33.6815,33.8441
10/13/2016,TSHS,21.5509,21.4812,21.6207
